area_title,occ_code,occ_title,tot_emp,a_pct10,a_pct25,a_pct75,a_pct90
"Atlanta-Sandy Springs-Roswell, GA",15,Computer Systems Analysts,"16,280","58,120","71,270","106,610","131,800"
"Atlanta-Sandy Springs-Roswell, GA",15,Information Security Analysts,"3,540","59,210","73,840","124,720","150,130"
"Atlanta-Sandy Springs-Roswell, GA",15,Computer and Information Research Scientists,380,"65,620","86,110","140,580","171,850"
"Atlanta-Sandy Springs-Roswell, GA",15,Computer Network Support Specialists,"5,450","43,010","53,760","89,740","104,780"
"Atlanta-Sandy Springs-Roswell, GA",15,Computer User Support Specialists,"17,150","33,590","41,130","65,100","83,460"
"Atlanta-Sandy Springs-Roswell, GA",15,Computer Network Architects,"4,960","72,450","93,880","136,370","160,000"
"Atlanta-Sandy Springs-Roswell, GA",15,Network and Computer Systems Administrators,"7,340","52,400","67,230","111,220","132,820"
"Atlanta-Sandy Springs-Roswell, GA",15,Database Administrators and Architects,"4,160","55,130","76,970","122,570","144,100"
"Atlanta-Sandy Springs-Roswell, GA",15,Computer Programmers,"3,600","46,130","64,610","113,790","131,230"
"Atlanta-Sandy Springs-Roswell, GA",15,Software Developers and Software Quality Assurance Analysts and Testers,"40,400","60,110","80,880","126,190","151,230"
"Atlanta-Sandy Springs-Roswell, GA",15,Web Developers and Digital Interface Designers,"2,720","55,230","70,090","105,770","126,730"
"Atlanta-Sandy Springs-Roswell, GA",15,"Computer Occupations, All Other","17,180","46,000","63,820","119,780","153,030"
"Atlanta-Sandy Springs-Roswell, GA",15,Actuaries,230,"59,060","81,020","140,910","177,480"
"Atlanta-Sandy Springs-Roswell, GA",15,Operations Research Analysts,"3,180","42,020","50,920","88,450","111,770"
"Atlanta-Sandy Springs-Roswell, GA",15,Statisticians,550,"61,240","79,610","126,330","143,730"
"Atlanta-Sandy Springs-Roswell, GA",15,"Data Scientists and Mathematical Science Occupations, All Other",920,"42,520","58,480","116,810","145,810"
"Austin-Round Rock, TX",15,Computer Systems Analysts,"9,040","53,670","64,960","100,250","127,700"
"Austin-Round Rock, TX",15,Information Security Analysts,"1,550","64,700","82,870","138,970","164,230"
"Austin-Round Rock, TX",15,Computer and Information Research Scientists,290,"72,480","93,610","157,580","191,980"
"Austin-Round Rock, TX",15,Computer Network Support Specialists,"2,750","39,490","45,680","74,130","97,710"
"Austin-Round Rock, TX",15,Computer User Support Specialists,"8,270","32,850","38,140","62,460","79,040"
"Austin-Round Rock, TX",15,Computer Network Architects,"2,160","68,770","84,480","146,220","165,580"
"Austin-Round Rock, TX",15,Network and Computer Systems Administrators,"5,580","52,600","64,190","106,960","137,860"
"Austin-Round Rock, TX",15,Database Administrators and Architects,"2,060","65,450","80,820","125,300","161,740"
"Austin-Round Rock, TX",15,Computer Programmers,"3,290","46,020","63,590","113,530","134,130"
"Austin-Round Rock, TX",15,Software Developers and Software Quality Assurance Analysts and Testers,"23,410","65,110","79,430","130,080","158,240"
"Austin-Round Rock, TX",15,Web Developers and Digital Interface Designers,"2,160","46,200","62,710","99,550","127,700"
"Austin-Round Rock, TX",15,"Computer Occupations, All Other","3,950","36,810","54,430","107,770","130,730"
"Austin-Round Rock, TX",15,Actuaries,340,"60,350","71,560","145,960","179,600"
"Austin-Round Rock, TX",15,Operations Research Analysts,"1,190","42,320","57,060","99,340","121,540"
"Austin-Round Rock, TX",15,Statisticians,280,"49,410","65,050","108,850","148,820"
